sample, ageCE, CO2, citation
CAPE, "2006.0", "378.7", "GRIM"
CAPE, "2005.0", "376.7", "GRIM"
CAPE, "2004.0", "374.7", "GRIM"
CAPE, "2003.0", "372.8", "GRIM"
CAPE, "2002.0", "370.5", "GRIM"
CAPE, "2001.0", "368.3", "GRIM"
CAPE, "2000.0", "366.8", "GRIM"
CAPE, "1999.0", "365.5", "GRIM"
CAPE, "1998.0", "363.6", "GRIM"
CAPE, "1997.0", "361.1", "GRIM"
DSSW20K, "1996.5", "359.5", "firn"
CAPE, "1996.0", "359.8", "GRIM"
CAPE, "1995.0", "358.3", "GRIM"
DSSW20K, "1994.5", "356.9", "firn"
CAPE, "1994.0", "356.3", "GRIM"
CAPE, "1993.0", "354.9", "GRIM"
DSSW20K, "1992.4", "353.6", "firn"
CAPE, "1992.0", "354.1", "GRIM"
CAPE, "1991.0", "352.6", "GRIM"
CAPE, "1990.0", "351.0", "GRIM"
DSSW20K, "1989.8", "349.7", "firn"
CAPE, "1989.0", "349.5", "GRIM"
CAPE, "1988.0", "348.3", "GRIM"
CAPE, "1987.0", "346.1", "GRIM"
CAPE, "1986.0", "344.5", "GRIM"
CAPE, "1985.0", "343.2", "GRIM"
CAPE, "1984.0", "341.8", "GRIM"
DSSW20K, "1983.7", "341.2", "firn"
CAPE, "1983.0", "340.1", "GRIM"
CAPE, "1982.0", "338.1", "GRIM"
CAPE, "1981.0", "337.6", "GRIM"
CAPE, "1980.0", "336.6", "GRIM"
DE08-2, "1979.0", "332.0", "Eth et al. 1996"
DE08-2, "1979.0", "335.2", "Eth et al. 1996"
CAPE, "1979.0", "335.3", "GRIM"
CAPE, "1978.0", "333.5", "GRIM"
DE08-2, "1976.0", "331.2", "Eth et al. 1996"
DE08-2, "1974.0", "328.1", "Eth et al. 1996"
DE08-2, "1973.0", "326.4", "MacFM 2004/2006"
DE08, "1973.0", "329.2", "MacFM 2004/2006"
DE08-2, "1972.0", "324.1", "Eth et al. 1996"
DE08-2, "1971.2", "325.2", "Eth et al. 1996"
DE08-2, "1970.7", "324.7", "Eth et al. 1996"
DE08, "1970.0", "323.2", "Eth et al. 1996"
DSSW20K, "1970.0", "324.8", "firn"
DE08, "1969.0", "323.7", "Eth et al. 1996"
DE08-2, "1967.0", "322.9", "MacFM 2004/2006"
DE08, "1966.0", "318.8", "Eth et al. 1996"
DE08, "1966.0", "319.5", "Eth et al. 1996"
DE08, "1964.0", "318.2", "Eth et al. 1996"
DE08, "1964.0", "319.0", "MacFM 2004/2006"
DE08, "1963.0", "317.0", "Eth et al. 1996"
DE08, "1963.0", "317.0", "Eth et al. 1996"
DE08, "1963.0", "318.7", "Eth et al. 1996"
DE08, "1963.0", "319.4", "Eth et al. 1996"
DSS, "1960.7", "315.7", "Eth et al. 1996"
DE08, "1959.0", "316.3", "MacFM 2004/2006"
DE08, "1958.0", "314.4", "MacFM 2004/2006"
DE08, "1957.0", "314.0", "MacFM 2004/2006"
DSSW20K, "1956.1", "316.3", "firn"
DSS, "1955.2", "313.6", "Eth et al. 1996"
DSS, "1955.2", "314.1", "Eth et al. 1996"
DSS, "1955.2", "314.7", "Eth et al. 1996"
DE08, "1955.0", "313.5", "MacFM 2004/2006"
DE08, "1955.0", "313.8", "MacFM 2004/2006"
DE08, "1954.0", "311.0", "Eth et al. 1996"
DE08, "1954.0", "311.9", "Eth et al. 1996"
DE08, "1954.0", "312.7", "Eth et al. 1996"
DE08, "1954.0", "311.7", "MacFM 2004/2006"
DE08, "1953.0", "312.1", "MacFM 2004/2006"
DE08, "1950.0", "312.6", "MacFM 2004/2006"
DSS, "1949.3", "311.4", "Eth et al. 1996"
DE08-2, "1949.0", "309.9", "Eth et al. 1996"
DE08, "1949.0", "311.2", "MacFM 2004/2006"
DE08, "1948.0", "310.5", "MacFM 2004/2006"
DE08-2, "1947.0", "310.8", "MacFM 2004/2006"
DE08, "1947.0", "310.0", "MacFM 2004/2006"
DE08, "1947.0", "311.5", "MacFM 2004/2006"
DE08, "1946.0", "311.5", "MacFM 2004/2006"
DE08, "1945.0", "309.6", "Eth et al. 1996"
DE08, "1945.0", "309.7", "MacFM 2004/2006"
DE08-2, "1944.0", "311.4", "MacFM 2004/2006"
DE08-2, "1944.0", "312.1", "MacFM 2004/2006"
DE08, "1944.0", "311.3", "MacFM 2004/2006"
DE08, "1943.0", "310.5", "MacFM 2004/2006"
DE08, "1943.0", "311.0", "MacFM 2004/2006"
DSSW20K, "1942.1", "312.3", "firn"
DE08, "1942.0", "310.9", "MacFM 2004/2006"
DE08, "1942.0", "311.6", "MacFM 2004/2006"
DE08-2, "1941.5", "310.3", "MacFM 2004/2006"
DE08-2, "1941.0", "310.5", "Eth et al. 1996"
DE08, "1941.0", "310.7", "MacFM 2004/2006"
DE08-2, "1940.0", "311.9", "MacFM 2004/2006"
DE08, "1940.0", "311.0", "Eth et al., 1996"
DSS, "1939.1", "309.2", "Eth et al., 1996"
DE08, "1939.0", "310.5", "Eth et al., 1996"
DE08, "1939.0", "310.9", "MacFM 2004/2006"
DE08, "1938.0", "309.6", "MacFM 2004/2006"
DSS, "1937.2", "307.9", "Eth et al., 1996"
DE08, "1936.5", "309.0", "MacFM 2004/2006"
DE08-2, "1935.0", "309.2", "Eth et al., 1996"
DE08, "1934.5", "307.8", "MacFM 2004/2006"
DE08, "1933.0", "307.8", "Eth et al., 1996"
DE08, "1933.0", "307.2", "MacFM 2004/2006"
DE08, "1929.0", "305.7", "MacFM 2004/2006"
DE08, "1928.8", "307.8", "MacFM 2004/2006"
DSS, "1927.8", "305.2", "Eth et al., 1996"
DSS, "1927.2", "305.0", "Eth et al., 1996"
DE08, "1925.0", "304.1", "Eth et al., 1996"
DE08, "1925.0", "304.8", "Eth et al., 1996"
DE08, "1923.6", "305.2", "MacFM 2004/2006"
DE08, "1923.0", "303.2", "MacFM 2004/2006"
DE08, "1919.0", "303.6", "MacFM 2004/2006"
DE08, "1918.6", "303.3", "MacFM 2004/2006"
DE08, "1916.0", "301.3", "Eth et al., 1996"
DE08, "1914.0", "300.0", "MacFM 2004/2006"
DE08, "1914.0", "300.7", "MacFM 2004/2006"
DE08, "1913.0", "300.7", "Eth et al., 1996"
DE08, "1911.5", "298.4", "MacFM 2004/2006"
DE08, "1909.0", "300.4", "MacFM 2004/2006"
DE08, "1906.0", "296.9", "Eth et al., 1996"
DE08, "1906.0", "298.5", "Eth et al., 1996"
DSS, "1904.8", "299.0", "Eth et al., 1996"
DE08, "1904.0", "295.1", "MacFM 2004/2006"
DE08, "1902.0", "295.7", "MacFM 2004/2006"
DE08, "1902.0", "295.0", "MacFM 2004/2006"
DSS, "1900.8", "296.5", "Eth et al., 1996"
DE08, "1899.0", "294.7", "Eth et al., 1996"
DE08, "1899.0", "296.0", "MacFM 2004/2006"
DE08, "1899.0", "296.2", "MacFM 2004/2006"
DE08-2, "1896.0", "298.2", "MacFM 2004/2006"
DE08, "1894.0", "293.8", "MacFM 2004/2006"
DE08, "1893.0", "294.6", "Eth et al., 1996"
DSS, "1892.1", "294.7", "Eth et al., 1996"
DE08, "1889.0", "291.5", "MacFM 2004/2006"
DE08, "1889.0", "292.2", "MacFM 2004/2006"
DE08, "1887.0", "293.7", "Eth et al., 1996"
DE08, "1886.0", "290.6", "MacFM 2004/2006"
DSS, "1884.4", "289.0", "MacFM 2004/2006"
DE08, "1884.0", "289.8", "MacFM 2004/2006"
DE08, "1883.0", "291.9", "Eth et al., 1996"
DE08, "1878.0", "288.8", "Eth et al., 1996"
DE08, "1874.0", "290.5", "MacFM 2004/2006"
DE08, "1873.0", "287.2", "MacFM 2004/2006"
DE08, "1870.0", "287.4", "Eth et al., 1996"
DSS, "1869.1", "287.7", "MacFM 2004/2006"
DE08, "1867.0", "285.2", "MacFM 2004/2006"
DE08, "1864.0", "285.4", "MacFM 2004/2006"
DE08, "1862.0", "286.6", "Eth et al., 1996"
DE08, "1859.0", "286.5", "MacFM 2004/2006"
DE08, "1855.0", "284.9", "Eth et al., 1996"
DE08, "1854.0", "287.0", "MacFM 2004/2006"
DSS, "1852.3", "288.6", "MacFM 2004/2006"
DE08, "1851.0", "285.2", "Eth et al., 1996"
DE08, "1849.0", "287.7", "MacFM 2004/2006"
DSS, "1847.5", "286.1", "Eth et al., 1996"
DE08, "1846.0", "283.3", "MacFM 2004/2006"
DE08, "1846.0", "285.0", "MacFM 2004/2006"
DE08, "1844.0", "286.5", "MacFM 2004/2006"
DE08, "1841.0", "283.0", "Eth et al., 1996"
DSS, "1838.0", "284.1", "MacFM 2004/2006"
DSS, "1834.5", "283.7", "MacFM 2004/2006"
DE08-2, "1833.0", "284.5", "Eth et al., 1996"
DSS, "1826.9", "285.1", "Eth et al., 1996"
DSS, "1826.2", "281.3", "MacFM 2004/2006"
DSS, "1814.2", "284.3", "MacFM 2004/2006"
DSS, "1799.6", "281.1", "MacFM 2004/2006"
DSS, "1799.3", "283.7", "Eth et al., 1996"
DSS, "1796.1", "281.6", "Eth et al., 1996"
DSS, "1794.4", "281.5", "MacFM 2004/2006"
DSS, "1780.6", "276.8", "MacFM 2004/2006"
DSS, "1779.6", "279.5", "Eth et al., 1996"
DSS, "1773.7", "277.8", "MacFM 2004/2006"
DSS, "1763.5", "276.3", "MacFM 2004/2006"
DSS, "1762.8", "276.7", "Eth et al., 1996"
DSS, "1752.2", "277.2", "Eth et al., 1996"
DSS, "1752.0", "276.4", "MacFM 2004/2006"
DSS, "1749.2", "276.9", "Eth et al., 1996"
DSS, "1742.7", "276.7", "MacFM 2004/2006"
DSS, "1734.1", "278.2", "MacFM 2004/2006"
DSS, "1722.9", "277.5", "Eth et al., 1996"
DSS, "1722.8", "276.9", "MacFM 2004/2006"
DSS, "1694.1", "276.5", "Eth et al., 1996"
DSS, "1689.6", "276.3", "MacFM 2004/2006"
DSS, "1681.9", "275.9", "Eth et al., 1996"
DSS, "1649.2", "277.2", "Eth et al., 1996"
DSS, "1640.1", "276.6", "MacFM 2004/2006"
DSS, "1628.9", "274.5", "MacFM 2004/2006"
DSS, "1610.4", "271.8", "MacFM 2004/2006"
DSS, "1603.4", "274.3", "Eth et al., 1996"
DSS, "1591.1", "278.7", "Eth et al., 1996"
DSS, "1588.3", "281.0", "MacFM 2004/2006"
DSS, "1573.0", "281.9", "Eth et al., 1996"
DSS, "1560.4", "281.7", "MacFM 2004/2006"
DSS, "1549.7", "282.8", "Eth et al., 1996"
DSS, "1529.7", "283.2", "Eth et al., 1996"
DSS, "1501.5", "282.4", "Eth et al., 1996"
DSS, "1469.5", "279.6", "Eth et al., 1996"
DSS, "1449.1", "281.7", "Eth et al., 1996"
DSS, "1431.0", "282.5", "MacFM 2004/2006"
DSS, "1429.3", "279.5", "MacFM 2004/2006"
DSS, "1411.3", "279.6", "MacFM 2004/2006"
DSS, "1390.5", "280.0", "Eth et al., 1996"
DSS, "1390.5", "280.4", "Eth et al., 1996"
DSS, "1349.7", "280.1", "MacFM 2004/2006"
DSS, "1330.1", "283.4", "Eth et al., 1996"
DSS, "1306.5", "281.5", "MacFM 2004/2006"
DSS, "1275.8", "281.1", "MacFM 2004/2006"
DSS, "1257.6", "282.1", "MacFM 2004/2006"
DSS, "1246.3", "281.7", "Eth et al., 1996"
DSS, "1207.4", "283.6", "MacFM 2004/2006"
DSS, "1192.6", "283.9", "Eth et al., 1996"
DSS, "1159.6", "283.9", "MacFM 2004/2006"
DSS, "1136.8", "283.8", "Eth et al., 1996"
DSS, "1105.4", "282.8", "MacFM 2004/2006"
DSS, "1087.5", "282.4", "Eth et al., 1996"
DSS, "1058.0", "282.8", "MacFM 2004/2006"
DSS, "1036.8", "280.3", "Eth et al., 1996"
DSS, "1025.2", "280.8", "MacFM 2004/2006"
DSS, "1005.0", "280.5", "MacFM 2004/2006"
DSS, "1005.0", "279.4", "Eth et al., 1996"
DSS, "968.2", "278.5", "MacFM 2004/2006"
DSS, "944.2", "279.1", "MacFM 2004/2006"
DSS, "897.4", "278.9", "MacFM 2004/2006"
DSS, "857.3", "279.3", "MacFM 2004/2006"
DSS, "799.2", "278.5", "MacFM 2004/2006"
DSS, "764.5", "278.5", "MacFM 2004/2006"
DSS, "729.7", "278.5", "MacFM 2004/2006"
DSS, "698.4", "279.7", "MacFM 2004/2006"
DSS, "667.9", "279.4", "MacFM 2004/2006"
DSS, "632.0", "278.3", "MacFM 2004/2006"
DSS, "595.6", "276.9", "MacFM 2004/2006"
DSS, "572.0", "277.6", "MacFM 2004/2006"
DSS, "536.7", "276.0", "MacFM 2004/2006"
DSS, "499.8", "276.4", "MacFM 2004/2006"
DSS, "461.2", "276.7", "MacFM 2004/2006"
DSS, "428.4", "276.9", "MacFM 2004/2006"
DSS, "364.6", "277.0", "MacFM 2004/2006"
DSS, "329.2", "278.9", "MacFM 2004/2006"
DSS, "302.3", "279.8", "MacFM 2004/2006"
DSS, "274.2", "280.1", "MacFM 2004/2006"
DSS, "227.9", "281.5", "MacFM 2004/2006"
DSS, "202.5", "280.7", "MacFM 2004/2006"
DSS, "168.2", "280.1", "MacFM 2004/2006"
DSS, "136.0", "278.1", "MacFM 2004/2006"
DSS, "104.5", "277.5", "MacFM 2004/2006"
DSS, "56.0", "277.4", "MacFM 2004/2006"
DSS, "29.5", "277.9", "MacFM 2004/2006"
DSS, "13.3", "276.7", "MacFM 2004/2006"